year_stringteam_1_name,team_1_score,team_2_name,team_2_score,date_string
2010,Arkansas-Pine Bluff,61.0,Winthrop,44.0,Mar16
2010,Arkansas-Pine Bluff,44.0,Duke,73.0,Mar19
2010,Baylor,68.0,Sam Houston State,59.0,Mar18
2010,Baylor,76.0,Old Dominion,68.0,Mar20
2010,Baylor,72.0,Saint Mary's (CA),49.0,Mar26
2010,Baylor,71.0,Duke,78.0,Mar28
2010,Brigham Young,99.0,Florida,92.0,Mar18
2010,Brigham Young,72.0,Kansas State,84.0,Mar20
2010,Butler,77.0,Texas-El Paso,59.0,Mar18
2010,Butler,54.0,Murray State,52.0,Mar20
2010,Butler,63.0,Syracuse,59.0,Mar25
2010,Butler,63.0,Kansas State,56.0,Mar27
2010,Butler,52.0,Michigan State,50.0,Apr3
2010,Butler,59.0,Duke,61.0,Apr5
2010,UC-Santa Barbara,51.0,Ohio State,68.0,Mar19
2010,University of California,77.0,Louisville,62.0,Mar19
2010,University of California,53.0,Duke,68.0,Mar21
2010,Clemson,78.0,Missouri,86.0,Mar19
2010,Cornell,78.0,Temple,65.0,Mar19
2010,Cornell,87.0,Wisconsin,69.0,Mar21
2010,Cornell,45.0,Kentucky,62.0,Mar25
2010,Duke,70.0,Purdue,57.0,Mar26
2010,Duke,78.0,West Virginia,57.0,Apr3
2010,East Tennessee State,71.0,Kentucky,100.0,Mar18
2010,Florida State,60.0,Gonzaga,67.0,Mar19
2010,Georgetown,83.0,Ohio,97.0,Mar18
2010,Georgia Tech,64.0,Oklahoma State,59.0,Mar19
2010,Georgia Tech,66.0,Ohio State,75.0,Mar21
2010,Gonzaga,65.0,Syracuse,87.0,Mar21
2010,Houston,77.0,Maryland,89.0,Mar19
2010,Kansas State,82.0,North Texas,62.0,Mar18
2010,Kansas State,101.0,Xavier,96.0,Mar25
2010,Kansas,90.0,Lehigh,74.0,Mar18
2010,Kansas,67.0,Northern Iowa,69.0,Mar20
2010,Kentucky,90.0,Wake Forest,60.0,Mar20
2010,Kentucky,66.0,West Virginia,73.0,Mar27
2010,Marquette,78.0,Washington,80.0,Mar18
2010,Maryland,83.0,Michigan State,85.0,Mar21
2010,Michigan State,70.0,New Mexico State,67.0,Mar19
2010,Michigan State,59.0,Northern Iowa,52.0,Mar26
2010,Michigan State,70.0,Tennessee,69.0,Mar28
2010,Minnesota,54.0,Xavier,65.0,Mar19
2010,Missouri,59.0,West Virginia,68.0,Mar21
2010,Montana,57.0,New Mexico,62.0,Mar18
2010,Morgan State,50.0,West Virginia,77.0,Mar19
2010,Murray State,66.0,Vanderbilt,65.0,Mar18
2010,Nevada-Las Vegas,66.0,Northern Iowa,69.0,Mar18
2010,New Mexico,64.0,Washington,82.0,Mar20
2010,Notre Dame,50.0,Old Dominion,51.0,Mar18
2010,Oakland,66.0,Pittsburgh,89.0,Mar19
2010,Ohio State,73.0,Tennessee,76.0,Mar26
2010,Ohio,68.0,Tennessee,83.0,Mar20
2010,Pittsburgh,68.0,Xavier,71.0,Mar21
2010,Purdue,72.0,Siena,64.0,Mar19
2010,Purdue,63.0,Texas A&M,61.0,Mar21
2010,Richmond,71.0,Saint Mary's (CA),80.0,Mar18
2010,Robert Morris,70.0,Villanova,73.0,Mar18
2010,Saint Mary's (CA),75.0,Villanova,68.0,Mar20
2010,San Diego State,59.0,Tennessee,62.0,Mar18
2010,Syracuse,79.0,Vermont,56.0,Mar19
2010,Texas A&M,69.0,Utah State,53.0,Mar19
2010,Texas,80.0,Wake Forest,81.0,Mar18
2010,Washington,56.0,West Virginia,69.0,Mar25
2010,Wisconsin,53.0,Wofford,49.0,Mar19
2011,Air Force,66.0,Colorado-Colorado Springs,53.0,Nov14
2011,Air Force,57.0,Colorado College,60.0,Nov17
2011,Air Force,87.0,Tennessee State,72.0,Nov20
2011,Air Force,72.0,Wofford,66.0,Nov24
2011,Air Force,72.0,Cal State Northridge,63.0,Dec2
2011,Air Force,57.0,Evansville,56.0,Dec5
2011,Air Force,61.0,Wright State,76.0,Dec8
2011,Air Force,73.0,North Carolina Central,56.0,Dec11
2011,Air Force,63.0,Arkansas-Pine Bluff,52.0,Dec18
2011,Air Force,63.0,Northern Arizona,74.0,Dec22
2011,Air Force,76.0,Sam Houston State,65.0,Dec28
2011,Air Force,54.0,Texas-El Paso,71.0,Dec29
