year_string,team_1_name,team_1_score,team_2_name,team_2_score,date_string
2010,Arkansas-Pine Bluff,61,Winthrop,44,16-Mar
2010,Arkansas-Pine Bluff,44,Duke,73,19-Mar
2010,Baylor,68,Sam Houston State,59,18-Mar
2010,Baylor,76,Old Dominion,68,20-Mar
2010,Baylor,72,Saint Mary's (CA),49,26-Mar
2010,Baylor,71,Duke,78,28-Mar
2010,Brigham Young,99,Florida,92,18-Mar
2010,Brigham Young,72,Kansas State,84,20-Mar
2010,Butler,77,Texas-El Paso,59,18-Mar
2010,Butler,54,Murray State,52,20-Mar
2010,Butler,63,Syracuse,59,25-Mar
2010,Butler,63,Kansas State,56,27-Mar
2010,Butler,52,Michigan State,50,3-Apr
2010,Butler,59,Duke,61,5-Apr
2010,UC-Santa Barbara,51,Ohio State,68,19-Mar
2010,University of California,77,Louisville,62,19-Mar
2010,University of California,53,Duke,68,21-Mar
2010,Clemson,78,Missouri,86,19-Mar
2010,Cornell,78,Temple,65,19-Mar
2010,Cornell,87,Wisconsin,69,21-Mar
2010,Cornell,45,Kentucky,62,25-Mar
2010,Duke,70,Purdue,57,26-Mar
2010,Duke,78,West Virginia,57,3-Apr
2010,East Tennessee State,71,Kentucky,100,18-Mar
2010,Florida State,60,Gonzaga,67,19-Mar
2010,Georgetown,83,Ohio,97,18-Mar
2010,Georgia Tech,64,Oklahoma State,59,19-Mar
2010,Georgia Tech,66,Ohio State,75,21-Mar
2010,Gonzaga,65,Syracuse,87,21-Mar
2010,Houston,77,Maryland,89,19-Mar
2010,Kansas State,82,North Texas,62,18-Mar
2010,Kansas State,101,Xavier,96,25-Mar
2010,Kansas,90,Lehigh,74,18-Mar
2010,Kansas,67,Northern Iowa,69,20-Mar
2010,Kentucky,90,Wake Forest,60,20-Mar
2010,Kentucky,66,West Virginia,73,27-Mar
2010,Marquette,78,Washington,80,18-Mar
2010,Maryland,83,Michigan State,85,21-Mar
2010,Michigan State,70,New Mexico State,67,19-Mar
2010,Michigan State,59,Northern Iowa,52,26-Mar
2010,Michigan State,70,Tennessee,69,28-Mar
2010,Minnesota,54,Xavier,65,19-Mar
2010,Missouri,59,West Virginia,68,21-Mar
2010,Montana,57,New Mexico,62,18-Mar
2010,Morgan State,50,West Virginia,77,19-Mar
2010,Murray State,66,Vanderbilt,65,18-Mar
2010,Nevada-Las Vegas,66,Northern Iowa,69,18-Mar
2010,New Mexico,64,Washington,82,20-Mar
2010,Notre Dame,50,Old Dominion,51,18-Mar
2010,Oakland,66,Pittsburgh,89,19-Mar
2010,Ohio State,73,Tennessee,76,26-Mar
2010,Ohio,68,Tennessee,83,20-Mar
2010,Pittsburgh,68,Xavier,71,21-Mar
2010,Purdue,72,Siena,64,19-Mar
2010,Purdue,63,Texas A&M,61,21-Mar
2010,Richmond,71,Saint Mary's (CA),80,18-Mar
2010,Robert Morris,70,Villanova,73,18-Mar
2010,Saint Mary's (CA),75,Villanova,68,20-Mar
2010,San Diego State,59,Tennessee,62,18-Mar
2010,Syracuse,79,Vermont,56,19-Mar
2010,Texas A&M,69,Utah State,53,19-Mar
2010,Texas,80,Wake Forest,81,18-Mar
2010,Washington,56,West Virginia,69,25-Mar
2010,Wisconsin,53,Wofford,49,19-Mar
2011,Air Force,66,Colorado-Colorado Springs,53,14-Nov
2011,Air Force,57,Colorado College,60,17-Nov
2011,Air Force,87,Tennessee State,72,20-Nov
2011,Air Force,72,Wofford,66,24-Nov
2011,Air Force,72,Cal State Northridge,63,2-Dec
2011,Air Force,57,Evansville,56,5-Dec
2011,Air Force,61,Wright State,76,8-Dec
2011,Air Force,73,North Carolina Central,56,11-Dec
2011,Air Force,63,Arkansas-Pine Bluff,52,18-Dec
2011,Air Force,63,Northern Arizona,74,22-Dec
2011,Air Force,76,Sam Houston State,65,28-Dec
2011,Air Force,54,Texas-El Paso,71,29-Dec
2011,Air Force,81,Florida A&M,48,2-Jan
2011,Air Force,77,Utah,69,5-Jan
2011,Air Force,66,Brigham Young,76,8-Jan
2011,Air Force,52,Nevada-Las Vegas,64,15-Jan
2011,Air Force,55,San Diego State,68,19-Jan
2011,Air Force,72,Wyoming,51,22-Jan
2011,Air Force,66,Colorado State,69,26-Jan
2011,Air Force,66,Texas Christian,65,29-Jan
2011,Air Force,61,New Mexico,75,1-Feb
2011,Air Force,54,Utah,49,5-Feb
2011,Air Force,52,Brigham Young,90,9-Feb
2011,Air Force,42,Nevada-Las Vegas,49,15-Feb
2011,Air Force,58,San Diego State,70,19-Feb
2011,Air Force,61,Wyoming,63,23-Feb
