year,team_1_name,team_1_score,team_1_seed,team_2_name,team_2_score,team_2_seed
2011,UTSA,46,16,Ohio State,75,1
2011,George Mason,61,8,Villanova,57,9
2011,Clemson,76,12,West Virginia,84,5
2011,Princeton,57,13,Kentucky,59,4
2011,Marquette,66,11,Xavier,55,6
2011,Indiana State,60,14,Syracuse,77,3
2011,Washington,68,7,Georgia,65,10
2011,LIU-Brooklyn,87,15,UNC,102,2
2011,Ohio State,98,1,George Mason,66,8
2011,Kentucky,71,4,West Virginia,63,5
2011,Marquette,66,11,Syracuse,62,3
2011,Washington,83,7,UNC,86,2
2011,Kentucky,62,4,Ohio State,60,1
2011,Marquette,63,11,UNC,81,2
2011,UNC,69,2,Kentucky,76,4
2011,Hampton,45,16,Duke,87,1
2011,Michigan,75,8,Tennessee,45,9
2011,Memphis,75,12,Arizona,77,5
2011,Texas,85,4,Oakland,81,13
2011,Cincinnati,78,6,Missouri,63,11
2011,UConn,81,3,Bucknell,52,14
2011,Temple,66,7,Penn State,64,10
2011,Northern Colorado,50,15,San Diego State,68,2
2011,Michigan,71,8,Duke,73,1
2011,Arizona,70,5,Texas,69,4
2011,UConn,69,3,Cincinnati,58,6
2011,Temple,64,7,San Diego State,71,2
2011,Duke,77,1,Arizona,93,5
2011,UConn,74,3,San Diego State,67,2
2011,UConn,65,3,Arizona,63,5
2011,North Carolina-Asheville,51,16,Pitt,74,1
2011,Old Dominion,58,9,Butler,60,8
2011,Utah State,68,12,Kansas State,73,5
2011,Wisconsin,72,4,Belmont,58,13
2011,St. John's (NY),71,6,Gonzaga,86,11
2011,BYU,74,3,Wofford,66,14
2011,Michigan State,76,10,UCLA,78,7
2011,UCSB,51,15,Florida,79,2
2011,Pitt,70,1,Butler,71,8
2011,Kansas State,65,5,Wisconsin,70,4
2011,Gonzaga,67,11,BYU,89,3
2011,UCLA,65,7,Florida,73,2
2011,Wisconsin,54,4,Butler,61,8
2011,BYU,74,3,Florida,83,2
2011,Butler,74,8,Florida,71,2
2011,Boston University,53,16,Kansas,72,1
2011,UNLV,62,8,Illinois,73,9
2011,Richmond,69,12,Vanderbilt,66,5
2011,Morehead State,62,13,Louisville,61,4
2011,Georgetown,56,6,VCU,74,11
2011,St. Peter's,43,14,Purdue,65,3
2011,Florida State,57,10,Texas A&M,50,7
2011,Akron,56,15,Notre Dame,69,2
2011,Kansas,73,1,Illinois,59,9
2011,Richmond,65,12,Morehead State,48,13
2011,Purdue,76,3,VCU,94,11
2011,Notre Dame,57,2,Florida State,71,10
2011,Richmond,57,12,Kansas,77,1
2011,VCU,72,11,Florida State,71,10
2011,Kansas,61,1,VCU,71,11
2011,Kentucky,55,4,UConn,56,3
2011,Butler,70,8,VCU,62,11
2011,UConn,53,3,Butler,41,8
2012,North Carolina-Asheville,65,16,Syracuse,72,1
2012,Southern Miss,64,9,Kansas State,70,8
2012,Vanderbilt,79,5,Harvard,70,12
2012,Wisconsin,73,4,Montana,49,13
2012,Cincinnati,65,6,Texas,59,11
2012,St. Bonaventure,63,14,Florida State,66,3
2012,West Virginia,54,10,Gonzaga,77,7
2012,Ohio State,78,2,Loyola (MD),59,15
2012,Syracuse,75,1,Kansas State,59,8
2012,Vanderbilt,57,5,Wisconsin,60,4
2012,Florida State,56,3,Cincinnati,62,6
2012,Ohio State,73,2,Gonzaga,66,7
2012,Syracuse,64,1,Wisconsin,63,4
2012,Ohio State,81,2,Cincinnati,66,6
2012,Ohio State,77,2,Syracuse,70,1
2012,LIU-Brooklyn,67,16,Michigan State,89,1
2012,Memphis,54,8,Saint Louis,61,9
2012,Long Beach State,68,12,New Mexico,75,5
2012,Louisville,69,4,Davidson,62,13
2012,Colorado State,41,11,Murray State,58,6
2012,Marquette,88,3,BYU,68,14
2012,Florida,71,7,Virginia,45,10
2012,Norfolk State,86,15,Missouri,84,2
2012,Saint Louis,61,9,Michigan State,65,1
2012,Louisville,59,4,New Mexico,56,5
2012,Marquette,62,3,Murray State,53,6
2012,Florida,84,7,Norfolk State,50,15
2012,Louisville,57,4,Michigan State,44,1
2012,Florida,68,7,Marquette,58,3
2012,Florida,68,7,Louisville,72,4
2012,UNC,77,1,Vermont,58,16
2012,Alabama,57,9,Creighton,58,8
2012,Temple,44,5,South Florida,58,12
2012,Michigan,60,4,Ohio,65,13
2012,North Carolina State,79,11,San Diego State,65,6
2012,Belmont,59,14,Georgetown,74,3
2012,Saint Mary's (CA),69,7,Purdue,72,10
2012,Detroit,50,15,Kansas,65,2
2012,UNC,87,1,Creighton,73,8
2012,South Florida,56,12,Ohio,62,13
2012,North Carolina State,66,11,Georgetown,63,3
2012,Kansas,63,2,Purdue,60,10
2012,Ohio,65,13,UNC,73,1
2012,Kansas,60,2,North Carolina State,57,11
2012,UNC,67,1,Kansas,80,2
2012,Western Kentucky,66,16,Kentucky,81,1
2012,Iowa State,77,8,UConn,64,9
2012,VCU,62,12,Wichita State,59,5
2012,Indiana,79,4,New Mexico State,66,13
2012,Colorado,68,11,UNLV,64,6
2012,South Dakota State,60,14,Baylor,68,3
2012,Xavier,67,10,Notre Dame,63,7
2012,Lehigh,75,15,Duke,70,2
2012,Iowa State,71,8,Kentucky,87,1
2012,VCU,61,12,Indiana,63,4
2012,Baylor,80,3,Colorado,63,11
2012,Xavier,70,10,Lehigh,58,15
2012,Kentucky,102,1,Indiana,90,4
2012,Baylor,75,3,Xavier,70,10
2012,Kentucky,82,1,Baylor,70,3
2012,Louisville,61,4,Kentucky,69,1
2012,Kansas,64,2,Ohio State,62,2
2012,Kentucky,67,1,Kansas,59,2
2013,Indiana,83,1,James Madison,62,16
2013,North Carolina State,72,8,Temple,76,9
2013,University of California,64,12,UNLV,61,5
2013,Syracuse,81,4,Montana,34,13
2013,Butler,68,6,Bucknell,56,11
2013,Marquette,59,3,Davidson,58,14
2013,Colorado,49,10,Illinois,57,7
2013,Pacific,49,15,Miami (FL),78,2
2013,Temple,52,9,Indiana,58,1
2013,Syracuse,66,4,University of California,60,12
2013,Marquette,74,3,Butler,72,6
2013,Illinois,59,7,Miami (FL),63,2
2013,Indiana,50,1,Syracuse,61,4
2013,Marquette,71,3,Miami (FL),61,2
