year,team_name,fg_pg,ft_pg,three_pt_pg,orb_pg,drb_pg,ast_pg,stl_pg,blk_pg,tov_pg,pf_pg,pt_pg,opnt_pt_pg,fg_pct,three_p_pct,ft_pct,wl_pct,conf_wl_pct,srs,sos
2010,Air Force,20.38709677,10.74193548,5.677419355,7.096774194,27.2226847,12.5483871,5,1.64516129,12.70967742,17.64516129,57.19354839,63.12903226,0.443,0.313,0.635,0.323,0.0625,-4.9,3.13
2010,Akron,25.05714286,13.8,6.714285714,13.34285714,35.87591837,13.51428571,6.085714286,3.257142857,13.25714286,19.48571429,70.62857143,65.51428571,0.433,0.339,0.657,0.686,0.75,2.82,-1.5
2010,Alabama A&M,22.18518519,17.48148148,4,13.92592593,36.66941015,10.66666667,9.222222222,5.296296296,16.44444444,20.37037037,65.85185185,69.66666667,0.382,0.291,0.635,0.407,0.444444444,-20.19,-13.71
2010,Alabama-Birmingham,22.44117647,16.85294118,5.205882353,12.35294118,36.34256055,11.47058824,6.558823529,2.676470588,13.26470588,17.97058824,66.94117647,60.38235294,0.422,0.311,0.694,0.735,0.6875,9.46,2.9
2010,Alabama State,21.51612903,15.29032258,6.129032258,12.90322581,35.09989594,12.90322581,7.35483871,4.161290323,16.16129032,20.4516129,64.4516129,65.90322581,0.404,0.324,0.641,0.516,0.666666667,-14.41,-12.02
2010,Alabama,24.71875,13.59375,5.46875,12.0625,34.81054688,13.40625,7.78125,3.96875,12.8125,18.21875,68.5,64.78125,0.441,0.35,0.707,0.531,0.375,10.34,6.62
2010,Albany (NY),22.1875,12.28125,6.0625,12.46875,35.73535156,11.875,5.84375,3.03125,16.15625,18.8125,62.71875,69.125,0.409,0.332,0.721,0.219,0.125,-11.94,-5.53
2010,Alcorn State,21,14.29032258,4.35483871,11.48387097,33.98439126,8.677419355,6.903225806,3.161290323,20.70967742,21.61290323,60.64516129,82,0.379,0.309,0.611,0.065,0.111111111,-30.36,-9
2010,American,21.96774194,12.74193548,5.935483871,9.806451613,35.07075963,14.41935484,3.516129032,2.612903226,14.77419355,19.03225806,62.61290323,67.19354839,0.425,0.345,0.692,0.355,0.5,-11.47,-6.89
2010,Appalachian State,25.78378378,15.64864865,7.540540541,11.10810811,38.18626735,12.08108108,5.432432432,2.756756757,14.7027027,17.62162162,74.75675676,69.37837838,0.476,0.397,0.738,0.649,0.722222222,1.8,-2.76
2010,Arizona State,22.51515152,13.48484848,8.212121212,8.515151515,31.56014692,13.96969697,6.545454545,2.424242424,11.87878788,16.42424242,66.72727273,58.72727273,0.452,0.369,0.712,0.667,0.666666667,13.8,5.83
2010,Arizona,24.03225806,17.58064516,6.258064516,9.741935484,33.94380853,12.38709677,6,2.516129032,14.06451613,19.19354839,71.90322581,72.03225806,0.443,0.358,0.733,0.516,0.555555556,7.97,8.1
2010,Arkansas-Little Rock,22.33333333,16.76666667,6.166666667,9.866666667,33.63777778,12.1,4.7,2.7,13.4,19.9,67.6,73.13333333,0.425,0.369,0.699,0.267,0.222222222,-10.06,-2.23
2010,Arkansas-Pine Bluff,21.32352941,16.91176471,4.147058824,12.41176471,37.45847751,12.38235294,6.735294118,3.558823529,16.73529412,22.47058824,63.70588235,64.32352941,0.408,0.303,0.668,0.529,0.777777778,-8.29,-7.68
2010,Arkansas State,24.77419355,14.58064516,5.548387097,11.83870968,37.94068678,13.09677419,5.129032258,4.161290323,13.87096774,18.12903226,69.67741935,66.61290323,0.446,0.349,0.663,0.548,0.611111111,-4.01,-4.39
2010,Arkansas,25.90625,16.625,6.28125,10.96875,34.12597656,13.75,7.25,4.0625,13.71875,18.6875,74.71875,73.9375,0.446,0.347,0.68,0.438,0.4375,5.87,5.09
2010,Army,21.96551724,10.89655172,5.482758621,10.34482759,31.64328181,11.51724138,8.24137931,2.551724138,14.82758621,20,60.31034483,60.96551724,0.414,0.326,0.654,0.483,0.285714286,-9.11,-7.96
2010,Auburn,26.5625,14.09375,8.46875,11.9375,34.65820313,13.09375,7.875,2.78125,13.65625,19.84375,75.6875,74.15625,0.444,0.331,0.655,0.469,0.375,5.49,4.68
2010,Austin Peay,24.5625,17.125,6.25,10.84375,33.78613281,13.40625,5.90625,3.34375,14.3125,17.09375,72.5,72.40625,0.455,0.366,0.694,0.531,0.611111111,-3.85,-1.68
2010,Ball State,20.56666667,15.7,3.766666667,10.46666667,34.75111111,11.06666667,5.066666667,3.033333333,14.53333333,17.7,60.6,62.36666667,0.415,0.365,0.688,0.5,0.5,-4.85,-1.48
2010,Baylor,27.58333333,14.72222222,7.083333333,12.30555556,38.76929012,14.11111111,6.583333333,6.722222222,13.63888889,17.75,76.97222222,65.61111111,0.487,0.385,0.725,0.778,0.6875,17.97,8.03
2010,Belmont,24.61290323,16,7.870967742,11.96774194,36.710718,14.35483871,7.161290323,2.967741935,16.5483871,19.19354839,73.09677419,68.51612903,0.449,0.344,0.674,0.613,0.7,1.3,-3.41
2010,Bethune-Cookman,22.51515152,12.15151515,4.060606061,11.87878788,32.85215794,10.42424242,6.878787879,3.454545455,12.81818182,17.96969697,61.24242424,60.48484848,0.43,0.339,0.643,0.515,0.4375,-13.14,-8.4
2010,Binghamton,22.25806452,11.96774194,5.096774194,11.58064516,34.40062435,9.64516129,5.35483871,3.935483871,14.16129032,17.09677419,61.58064516,67.16129032,0.423,0.29,0.665,0.419,0.5,-10.6,-4.31
2010,Boise State,27.9375,12.1875,6,11.59375,35.51269531,16.09375,7.625,3.71875,14.3125,16.78125,74.0625,72.84375,0.46,0.332,0.675,0.469,0.3125,-1.11,0.68
2010,Boston College,25.74193548,12.58064516,5.129032258,12.93548387,35.84079084,15,5,3.483870968,12.70967742,16.90322581,69.19354839,66.06451613,0.447,0.326,0.716,0.484,0.375,9.58,7.21
2010,Boston University,23.8,16.05714286,8.571428571,11.34285714,36.7044898,11.37142857,7.342857143,3.257142857,13.57142857,21.25714286,72.22857143,68.42857143,0.41,0.364,0.724,0.6,0.6875,0.57,-3.23
2010,Bowling Green State,23.16666667,12.3,4.333333333,10.9,33.33666667,13.1,6.8,3.3,14,16.46666667,62.96666667,65.86666667,0.444,0.326,0.67,0.467,0.375,-4.7,-0.94
2010,Bradley,23.25806452,14.90322581,6.032258065,9.129032258,32.64099896,11.93548387,6.290322581,2.741935484,12.03225806,16.70967742,67.4516129,67.38709677,0.439,0.356,0.744,0.516,0.5,3.74,4.11
2010,Brigham Young,28.47222222,18.05555556,8.111111111,10.19444444,36.71682099,15.75,8.527777778,3.5,11.58333333,17.25,83.11111111,66.44444444,0.483,0.417,0.79,0.833,0.8125,18.82,3
