year,team_1_name,team_1_score,team_2_name,team_2_score,date_string
2022,Abilene Christian,56.0,Utah,70.0,Nov9
2022,Abilene Christian,80.0,Texas A&M,81.0,Nov12
2022,Abilene Christian,80.0,UT Arlington,71.0,Nov16
2022,Abilene Christian,89.0,McMurry,54.0,Nov27
2022,Abilene Christian,88.0,Schreiner,47.0,Nov29
2022,Abilene Christian,108.0,Dallas,65.0,Dec1
2022,Abilene Christian,98.0,Incarnate Word,65.0,Dec4
2022,Abilene Christian,73.0,Drexel,56.0,Dec11
2022,Abilene Christian,69.0,Cal State Bakersfield,59.0,Dec15
2022,Abilene Christian,112.0,Howard Payne,41.0,Dec19
2022,Abilene Christian,74.0,Longwood,58.0,Dec22
2022,Abilene Christian,80.0,Utah Valley,76.0,Dec30
2022,Abilene Christian,64.0,Utah Tech,50.0,Jan1
2022,Abilene Christian,58.0,Stephen F. Austin,64.0,Jan6
2022,Abilene Christian,63.0,Sam Houston State,65.0,Jan8
2022,Abilene Christian,68.0,Grand Canyon,95.0,Jan13
2022,Abilene Christian,63.0,New Mexico State,77.0,Jan15
2022,Abilene Christian,62.0,Seattle,72.0,Jan20
2022,Abilene Christian,77.0,California Baptist,68.0,Jan22
2022,Abilene Christian,87.0,Texas-Rio Grande Valley,85.0,Jan26
2022,Abilene Christian,85.0,Lamar,82.0,Jan29
2022,Abilene Christian,77.0,Chicago State,73.0,Feb2
2022,Abilene Christian,83.0,Texas-Rio Grande Valley,66.0,Feb5
2022,Abilene Christian,77.0,Tarleton State,63.0,Feb12
2022,Abilene Christian,71.0,Sam Houston State,75.0,Feb17
2022,Abilene Christian,77.0,Lamar,42.0,Feb24
2022,Abilene Christian,71.0,Stephen F. Austin,73.0,Feb26
2022,Abilene Christian,80.0,Utah Tech,64.0,Mar3
2022,Abilene Christian,61.0,Tarleton State,56.0,Mar5
2022,Abilene Christian,82.0,Utah Valley,74.0,Mar9
2022,Abilene Christian,76.0,Stephen F. Austin,62.0,Mar10
2022,Abilene Christian,78.0,Seattle,76.0,Mar11
2022,Abilene Christian,52.0,New Mexico State,66.0,Mar12
2022,Abilene Christian,82.0,Troy,70.0,Mar20
2022,Abilene Christian,91.0,Ohio,86.0,Mar21
2022,Abilene Christian,69.0,Middle Tennessee,85.0,Mar22
2022,Air Force,53.0,South Dakota,59.0,Nov11
2022,Air Force,59.0,Tulsa,58.0,Nov13
2022,Air Force,61.0,Texas Southern,57.0,Nov17
2022,Air Force,72.0,Holy Cross,53.0,Nov20
2022,Air Force,73.0,Bethune-Cookman,65.0,Nov21
2022,Air Force,66.0,Denver,65.0,Nov24
2022,Air Force,59.0,Idaho State,48.0,Nov27
2022,Air Force,76.0,Army,58.0,Dec4
2022,Air Force,48.0,Montana,66.0,Dec8
2022,Air Force,46.0,Arkansas State,68.0,Dec19
2022,Air Force,45.0,Tarleton State,67.0,Dec21
2022,Air Force,49.0,Utah State,47.0,Dec29
2022,Air Force,59.0,Colorado State,67.0,Jan4
