year,team_1_name,team_1_score,team_1_seed,team_2_name,team_2_score,team_2_seed
2022,Norfolk State,49.0,16.0,Baylor,85.0,1.0
2022,Marquette,63.0,9.0,UNC,95.0,8.0
2022,Indiana,53.0,12.0,Saint Mary's,82.0,5.0
2022,UCLA,57.0,4.0,Akron,53.0,13.0
2022,Texas,81.0,6.0,Virginia Tech,73.0,11.0
2022,Purdue,78.0,3.0,Yale,56.0,14.0
2022,Murray State,92.0,7.0,San Francisco,87.0,10.0
2022,Kentucky,79.0,2.0,St. Peter's,85.0,15.0
2022,Baylor,86.0,1.0,UNC,93.0,8.0
2022,Saint Mary's,56.0,5.0,UCLA,72.0,4.0
2022,Texas,71.0,6.0,Purdue,81.0,3.0
2022,Murray State,60.0,7.0,St. Peter's,70.0,15.0
2022,UNC,73.0,8.0,UCLA,66.0,4.0
2022,St. Peter's,67.0,15.0,Purdue,64.0,3.0
2022,UNC,69.0,8.0,St. Peter's,49.0,15.0
2022,Georgia State,72.0,16.0,Gonzaga,93.0,1.0
2022,Memphis,64.0,9.0,Boise State,53.0,8.0
2022,UConn,63.0,5.0,New Mexico State,70.0,12.0
2022,Arkansas,75.0,4.0,Vermont,71.0,13.0
2022,Notre Dame,78.0,11.0,Alabama,64.0,6.0
2022,Texas Tech,97.0,3.0,Montana State,62.0,14.0
2022,Davidson,73.0,10.0,Michigan State,74.0,7.0
2022,Cal State Fullerton,61.0,15.0,Duke,78.0,2.0
2022,Gonzaga,82.0,1.0,Memphis,78.0,9.0
2022,New Mexico State,48.0,12.0,Arkansas,53.0,4.0
2022,Texas Tech,59.0,3.0,Notre Dame,53.0,11.0
2022,Duke,85.0,2.0,Michigan State,76.0,7.0
2022,Arkansas,74.0,4.0,Gonzaga,68.0,1.0
2022,Duke,78.0,2.0,Texas Tech,73.0,3.0
2022,Arkansas,69.0,4.0,Duke,78.0,2.0
2022,Kansas,83.0,1.0,Texas Southern,56.0,16.0
2022,Creighton,72.0,9.0,San Diego State,69.0,8.0
2022,Iowa,63.0,5.0,Richmond,67.0,12.0
2022,South Dakota State,57.0,13.0,Providence,66.0,4.0
2022,LSU,54.0,6.0,Iowa State,59.0,11.0
2022,Colgate,60.0,14.0,Wisconsin,67.0,3.0
2022,Miami (FL),68.0,10.0,USC,66.0,7.0
2022,Jacksonville State,61.0,15.0,Auburn,80.0,2.0
2022,Creighton,72.0,9.0,Kansas,79.0,1.0
2022,Providence,79.0,4.0,Richmond,51.0,12.0
2022,Wisconsin,49.0,3.0,Iowa State,54.0,11.0
2022,Auburn,61.0,2.0,Miami (FL),79.0,10.0
2022,Kansas,66.0,1.0,Providence,61.0,4.0
2022,Iowa State,56.0,11.0,Miami (FL),70.0,10.0
2022,Miami (FL),50.0,10.0,Kansas,76.0,1.0
2022,Wright State,70.0,16.0,Arizona,87.0,1.0
2022,TCU,69.0,9.0,Seton Hall,42.0,8.0
2022,Houston,82.0,5.0,UAB,68.0,12.0
2022,Chattanooga,53.0,13.0,Illinois,54.0,4.0
2022,Colorado State,63.0,6.0,Michigan,75.0,11.0
2022,Tennessee,88.0,3.0,Longwood,56.0,14.0
2022,Ohio State,54.0,7.0,Loyola (IL),41.0,10.0
2022,Villanova,80.0,2.0,Delaware,60.0,15.0
2022,TCU,80.0,9.0,Arizona,85.0,1.0
2022,Houston,68.0,5.0,Illinois,53.0,4.0
2022,Tennessee,68.0,3.0,Michigan,76.0,11.0
2022,Ohio State,61.0,7.0,Villanova,71.0,2.0
2022,Houston,72.0,5.0,Arizona,60.0,1.0
2022,Michigan,55.0,11.0,Villanova,63.0,2.0
2022,Houston,44.0,5.0,Villanova,50.0,2.0
2022,Villanova,65.0,2.0,Kansas,81.0,1.0
2022,UNC,81.0,8.0,Duke,77.0,2.0
2022,UNC,69.0,8.0,Kansas,72.0,1.0
